iter	Passed	Remaining
0	0	979
1	1	886
2	2	827
3	3	822
4	4	810
5	4	791
6	5	778
7	6	767
8	6	757
9	7	760
10	8	765
11	9	763
12	10	763
13	10	759
14	11	755
15	12	748
16	12	743
17	13	739
18	14	738
19	15	739
20	15	740
21	16	739
22	17	736
23	18	733
24	18	729
25	19	725
26	20	724
27	20	722
28	21	719
29	22	719
30	22	717
31	23	714
32	24	712
33	25	710
34	25	708
35	26	707
36	27	713
37	28	712
38	28	711
39	29	710
40	30	709
41	31	709
42	31	707
43	32	706
44	33	705
45	33	703
46	34	703
47	35	701
48	36	700
49	36	699
50	37	697
51	38	696
52	39	697
53	39	696
54	40	695
55	41	698
56	42	704
57	43	705
58	44	706
59	45	706
60	45	707
61	46	707
62	47	707
63	48	707
64	49	708
65	49	706
66	50	704
67	51	704
68	52	702
69	52	701
70	53	699
71	54	697
72	54	698
73	55	696
74	56	695
75	57	693
76	57	692
77	58	690
78	59	690
79	59	689
80	60	687
81	61	687
82	61	682
83	62	681
84	63	679
85	63	679
86	64	678
87	65	677
88	66	676
89	66	675
90	67	674
91	68	673
92	69	674
93	70	676
94	71	677
95	72	678
96	72	679
97	73	679
98	74	678
99	75	677
100	76	676
101	76	675
102	77	674
103	78	672
104	78	670
105	79	670
106	80	669
107	81	669
108	81	668
109	82	669
110	83	668
111	84	668
112	85	667
113	85	667
114	86	665
115	87	664
116	87	663
117	88	663
118	89	662
119	90	661
120	90	660
121	91	659
122	92	658
123	93	657
124	93	655
125	94	654
126	95	653
127	95	652
128	97	655
129	97	654
130	98	652
131	99	651
132	99	649
133	100	648
134	101	647
135	101	645
136	102	644
137	103	643
138	103	641
139	104	640
140	104	639
141	105	636
142	105	635
143	106	634
144	107	633
145	108	632
146	108	631
147	109	629
148	110	628
149	110	628
150	111	627
151	112	626
152	113	626
153	113	625
154	114	624
155	115	622
156	115	621
157	116	620
158	117	619
159	117	617
160	118	615
161	118	614
162	119	613
163	120	612
164	120	611
165	121	610
166	122	609
167	122	608
168	123	607
169	124	606
170	125	607
171	126	607
172	126	606
173	127	605
174	128	604
175	129	604
176	129	603
177	130	602
178	131	601
179	131	600
180	132	599
181	133	598
182	133	596
183	134	595
184	134	594
185	135	593
186	136	592
187	136	590
188	137	590
189	138	589
190	139	588
191	139	588
192	140	589
193	141	588
194	142	587
195	143	586
196	143	586
197	144	585
198	145	584
199	145	583
200	146	582
201	147	581
202	147	580
203	148	578
204	148	577
205	149	576
206	150	575
207	151	574
208	151	574
209	152	573
210	152	571
211	153	572
212	154	571
213	155	570
214	155	569
215	156	568
216	157	567
217	158	567
218	158	566
219	159	565
220	159	563
221	160	562
222	161	561
223	161	560
224	162	560
225	163	559
226	164	559
227	165	559
228	165	558
229	166	557
230	167	556
231	167	555
232	168	555
233	169	554
234	170	553
235	170	553
236	171	552
237	172	550
238	172	549
239	173	548
240	173	547
241	174	547
242	175	546
243	176	546
244	177	545
245	177	544
246	178	543
247	179	542
248	179	541
249	180	540
250	181	540
251	181	539
252	182	539
253	183	538
254	183	537
255	184	536
256	185	535
257	186	535
258	186	534
259	187	534
260	188	534
261	189	533
262	190	532
263	190	531
264	191	530
265	192	529
266	192	528
267	193	527
268	194	527
269	194	526
270	195	526
271	196	525
272	197	525
273	198	524
274	198	524
275	199	523
276	200	523
277	201	522
278	202	522
279	202	521
280	203	520
281	204	520
282	205	519
283	205	519
284	206	518
285	207	518
286	208	517
287	209	517
288	209	516
289	210	515
290	211	515
291	212	514
292	213	514
293	213	513
294	214	512
295	215	511
296	215	510
297	216	509
298	217	508
299	217	507
300	218	507
301	219	506
302	219	505
303	220	504
304	221	503
305	221	502
306	222	502
307	223	501
308	223	500
309	224	499
310	225	498
311	225	498
312	226	497
313	227	496
314	227	495
315	228	494
316	229	493
317	229	492
318	230	491
319	231	491
320	231	490
321	232	489
322	233	488
323	233	487
324	234	486
325	235	485
326	235	485
327	236	484
328	237	484
329	238	484
330	239	483
331	240	483
332	240	482
333	241	481
334	241	480
335	242	479
336	243	478
337	243	477
338	244	477
339	245	476
340	246	475
341	246	474
342	247	473
343	247	472
344	248	471
345	249	471
346	250	470
347	250	470
348	251	469
349	252	468
350	252	467
351	253	466
352	254	465
353	254	464
354	255	463
355	256	463
356	256	462
357	257	461
358	258	461
359	258	460
360	259	459
361	260	458
362	260	457
363	261	457
364	262	456
365	263	455
366	263	454
367	264	454
368	265	453
369	265	452
370	266	451
371	267	450
372	267	450
373	268	449
374	269	448
375	269	447
376	270	447
377	271	446
378	271	445
379	272	444
380	273	443
381	273	442
382	274	442
383	275	441
384	275	440
385	276	439
386	277	438
387	277	438
388	278	437
389	279	436
390	279	435
391	280	435
392	281	434
393	282	433
394	282	433
395	283	432
396	284	431
397	284	430
398	285	429
399	285	428
400	286	428
401	287	427
402	288	426
403	288	426
404	289	425
405	290	424
406	290	423
407	291	422
408	291	421
409	292	421
410	293	420
411	294	420
412	295	419
413	296	419
414	296	418
415	297	417
416	298	416
417	298	416
418	299	415
419	300	414
420	301	414
421	301	413
422	302	412
423	303	411
424	303	410
425	304	409
426	305	409
427	305	408
428	306	407
429	307	407
430	308	406
431	308	405
432	309	405
433	310	404
434	310	403
435	311	402
436	312	402
437	312	401
438	313	400
439	314	399
440	314	399
441	315	398
442	315	397
443	316	396
444	317	395
445	318	395
446	318	394
447	319	393
448	320	392
449	320	392
450	321	391
451	322	390
452	323	390
453	324	389
454	324	389
455	325	388
456	326	387
457	327	387
458	327	386
459	328	385
460	329	385
461	330	384
462	331	383
463	331	383
464	332	382
465	333	381
466	333	381
467	334	380
468	335	380
469	336	379
470	337	379
471	338	378
472	339	377
473	339	377
474	340	376
475	341	375
476	341	374
477	342	374
478	343	373
479	343	372
480	344	371
481	345	370
482	345	370
483	346	369
484	347	368
485	347	367
486	348	367
487	349	366
488	349	365
489	350	364
490	351	364
491	351	363
492	352	362
493	353	361
494	353	360
495	354	360
496	355	359
497	355	358
498	356	357
499	357	357
500	357	356
501	358	355
502	358	354
503	359	353
504	360	353
505	360	352
506	361	351
507	362	350
508	362	350
509	363	349
510	364	348
511	364	347
512	365	346
513	366	346
514	366	345
515	367	344
516	368	344
517	368	343
518	369	342
519	370	341
520	370	340
521	371	340
522	371	339
523	372	338
524	373	337
525	374	337
526	374	336
527	375	335
528	375	334
529	376	333
530	377	333
531	377	332
532	378	331
533	379	330
534	379	330
535	380	329
536	381	328
537	381	327
538	382	327
539	383	326
540	383	325
541	384	324
542	384	323
543	385	323
544	386	322
545	387	321
546	387	321
547	388	320
548	389	319
549	389	318
550	390	318
551	390	317
552	391	316
553	392	316
554	393	315
555	394	314
556	395	314
557	395	313
558	396	312
559	397	312
560	397	311
561	398	310
562	399	310
563	400	309
564	401	308
565	401	308
566	402	307
567	403	306
568	404	306
569	404	305
570	405	304
571	406	304
572	407	303
573	408	303
574	409	302
575	410	302
576	411	301
577	412	301
578	413	300
579	414	300
580	415	299
581	416	299
582	417	298
583	418	298
584	419	297
585	420	297
586	421	296
587	422	296
588	423	295
589	424	294
590	424	293
591	425	293
592	426	292
593	426	291
594	427	291
595	428	290
596	429	289
597	430	289
598	431	288
599	431	287
600	432	287
601	433	286
602	434	285
603	435	285
604	436	284
605	436	284
606	437	283
607	438	282
608	438	281
609	439	281
610	440	280
611	441	280
612	442	279
613	443	278
614	443	277
615	444	277
616	445	276
617	446	276
618	447	275
619	448	275
620	449	274
621	450	273
622	451	273
623	452	272
624	453	271
625	453	271
626	454	270
627	455	269
628	455	268
629	456	268
630	457	267
631	457	266
632	458	265
633	459	265
634	459	264
635	460	263
636	461	262
637	461	262
638	462	261
639	463	260
640	464	260
641	465	259
642	466	258
643	467	258
644	468	257
645	468	256
646	469	256
647	470	255
648	471	255
649	472	254
650	473	253
651	474	253
652	474	252
653	475	251
654	476	251
655	477	250
656	478	249
657	479	248
658	479	248
659	480	247
660	481	246
661	482	246
662	483	245
663	484	244
664	484	244
665	485	243
666	486	242
667	487	242
668	488	241
669	488	240
670	490	240
671	490	239
672	491	238
673	492	238
674	493	237
675	493	236
676	494	235
677	495	235
678	496	234
679	496	233
680	497	233
681	498	232
682	498	231
683	499	230
684	500	229
685	500	229
686	501	228
687	502	227
688	503	227
689	503	226
690	504	225
691	504	224
692	505	223
693	506	223
694	506	222
695	507	221
696	508	220
697	508	220
698	509	219
699	510	218
700	510	217
701	511	217
702	512	216
703	512	215
704	513	214
705	514	214
706	514	213
707	515	212
708	516	211
709	516	211
710	517	210
711	517	209
712	518	208
713	519	208
714	519	207
715	520	206
716	521	205
717	521	205
718	522	204
719	523	203
720	523	202
721	524	201
722	525	201
723	525	200
724	526	199
725	527	198
726	527	198
727	528	197
728	529	196
729	529	195
730	530	195
731	530	194
732	531	193
733	532	192
734	533	192
735	534	191
736	535	191
737	536	190
738	537	189
739	537	188
740	538	188
741	539	187
742	539	186
743	540	186
744	541	185
745	541	184
746	542	183
747	543	183
748	543	182
749	544	181
750	545	180
751	545	180
752	546	179
753	547	178
754	548	177
755	548	177
756	549	176
757	549	175
758	550	174
759	551	174
760	552	173
761	552	172
762	553	171
763	554	171
764	554	170
765	555	169
766	555	168
767	556	168
768	557	167
769	558	166
770	558	165
771	559	165
772	559	164
773	560	163
774	561	162
775	561	162
776	562	161
777	563	160
778	564	160
779	564	159
780	565	158
781	566	157
782	566	157
783	567	156
784	567	155
785	568	154
786	569	154
787	569	153
788	570	152
789	571	151
790	571	151
791	572	150
792	573	149
793	573	148
794	574	148
795	575	147
796	576	146
797	576	146
798	577	145
799	578	144
800	578	143
801	579	143
802	579	142
803	580	141
804	581	140
805	581	140
806	582	139
807	583	138
808	583	137
809	584	137
810	585	136
811	585	135
812	586	134
813	587	134
814	587	133
815	588	132
816	589	132
817	590	131
818	590	130
819	591	129
820	592	129
821	592	128
822	593	127
823	594	126
824	594	126
825	595	125
826	596	124
827	596	123
828	597	123
829	597	122
830	598	121
831	599	121
